Format type,Format subtype 1,Format subtype 2,Format,Section,QID,Question,Help,Weight,Dependency-Q,Dependency-A,Control,A1,A1 value,A2,A2 value,A3,A3 value,A4,A4 value,A5,A5 value,,,,,,,,,,,,,,
Photographic Material,"Negative (Glass, Film)",,Glass Negative,Condition,69,"Identify the binder material (gelatin, collodion, albumen), if possible","Albumen image tone ranges from ocher-orange to olive green, appearing creamy in dark areas, typically made with thick, irregularly sized rough-cut glass. Corners may not be coated with emulsion. 
Collodion image tone ranges from warm light brown to dark brown when viewed in reflected light. Uneven thickness of collodion is often apparent at the corners. 
Gelatin image tones range from neutral gray to black. Unlike the others, gelatin plates were made in standard sizes from factory-cut glass (< 2mm thick). Emulsion was machine-applied, resulting in a thin, smooth, even coating which also covered the edges.
If you are uncertain, select ""Unsure"". However, remember that this will harm the accuracy of your score.",4,,,,Gelatin,0.67,Collodion,0.33,Albumen,1,Unsure,0.4,,,,,,,,,,,,,,,,
Photographic Material,"Negative (Glass, Film)",,Glass Negative,Condition,70,Does the emulsion side have a glass cover or is the emulsion exposed?,"A protective sheet of similar-sized glass will help to protect the emulsion from external threatsÑmechanical damage and environmental factors (e.g. scratches, pests). If the emulsion is cracking or delaminating, a glass cover will help to sandwich and protect the fleeing image material.",4,,,,Glass cover,1,No cover (emulsion exposed),0,,,,,,,,,,,,,,,,,,,,
Photographic Material,"Negative (Glass, Film)",,Glass Negative,Condition,71,"Assess the degree of image fading, discoloration, and/or staining","Determine the extent to which the image material has deteriorated, naturally or by external factors. 
Silver mirroring (metallic, bluish cast) and tarnishing are common forms of staining (via oxidation); emulsion discoloration (yellowing) is also common for many photographic images of this era. Click through for more info, including examples. ",10,,,,Slight/None,1,Moderate,0.5,Severe,0,Unsure,0.4,,,,,,,,,,,,,,,,
Photographic Material,"Slide/Transparency (Glass, Film)",Glass Slide,B&W Glass Slide,Use | Access,72,Is this item viewed/handled regularly?,"Handling and use carry damage risks, regardless of intention. Click ""Yes"" if patrons (or staff) often handle this item and click ""No"" if not.",2.5,,,,Yes,0,No,1,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,"Slide/Transparency (Glass, Film)",Glass Slide,B&W Glass Slide,Use | Access,73,"Are there additional copies, facsimiles, and/or access copies of this image?","Select ""Yes"" if this content exists in another form at your institution; otherwise, select ""No"". Click through for more info about service copies.",2.5,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,"Slide/Transparency (Glass, Film)",Glass Slide,B&W Glass Slide,Storage | Container,74,Is this item properly supported in storage?,"Each format has a preferred way of sitting in storage. If you are certain you know how your item should be oriented in storage and have stored it as such, select ""Yes""; otherwise, select ""No"". Click through for more information of how best to orient this item in storage.",1.8,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,"Slide/Transparency (Glass, Film)",Glass Slide,B&W Glass Slide,Storage | Container,75,Does this item have an appropriate container in good condition?,"Select ""Yes"" if this item is in a preservation appropriate container; otherwise, select ""No"". Click through to see examples of appropriate storage containers.",2,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,"Slide/Transparency (Glass, Film)",Glass Slide,B&W Glass Slide,Storage | Container,76,Does the container or item have any meaningful labeling?,"Select ""Yes"" if the item or its container have any identifying labeling; otherwise, select ""No"".",1.2,,,,Yes,1,No,0,,,,,,,,,,,,,,,,,,,,
Photographic Material,"Slide/Transparency (Glass, Film)",Glass Slide,B&W Glass Slide,Condition,77,"What is the state of the image, in terms of physical damage sustained?","Be mindful of damage that places the image or visual information at risk. If the non-image (shinier) side of the glass is scuffed without clear damage to the image/emulsion side, the image may be ""Good"" or even ""Excellent"". 
""Good"" to ""Critical"" can describe a range of image scratches, abrasions, or cracks. 
Emulsion delamination or broken glass (image loss) is inherently ""Serious"" or ""Critical"", depending on the degree of irreparable image loss.",16,,,,Excellent,1,Good,0.75,Fair,0.5,Serious,0.25,Critical,0,,,,,,,,,,,,,,
Photographic Material,"Slide/Transparency (Glass, Film)",Glass Slide,B&W Glass Slide,Condition,78,"Is this item exhibiting mold and/or pest (insect, rodent) damage? Check all that apply","Biological organisms such as mold, insects, and rodents can very easily damage collections, often irreversibly. If this item or its container seems to display pest damage or mold growth, select which (both if necessary). Click through for more information on pests and mold. 
Mold can stain and even weaken materials. Though mold growth can be halted, most staining is permanent. Mold will often appear as small spots, typically overlapping, patchy, and feathery at its edges. 
Pests will feed on a whole host of organic substances found in collections (i.e. cellulose, gelatin), eating through paper supports, media, emulsions, binding material, etc. ",6,,,checkboxes,Mold,0.5,Pest damage,0.5,,,,,,,,,,,,,,,,,,,,
Photographic Material,"Slide/Transparency (Glass, Film)",Glass Slide,B&W Glass Slide,Condition,79,"Identify the binder material (gelatin, collodion, albumen), if possible","Albumen ranges from ocher-orange to olive green, appearing creamy in dark areas, typically made with thick, irregularly sized rough-cut glass. 
Collodion image tone ranges from warm light brown to dark brown when viewed in reflected light. Uneven thickness of collodion is often apparent at the corners. 
Gelatin image tones range from neutral gray to black. Unlike the others, gelatin plates were made in standard sizes from factory-cut glass less than 2mm thick. Gelatin emulsion was machine-applied, resulting in a thin, smooth, even coating which also covered the edges.",4,,,,Gelatin,0.67,Collodion,0.33,Albumen,1,Unsure,0.4,,,,,,,,,,,,,,,,
Photographic Material,"Slide/Transparency (Glass, Film)",Glass Slide,B&W Glass Slide,Condition,80,Does the emulsion side have a glass cover or is the emulsion exposed?,"A protective sheet of similar-sized glass will help to protect the emulsion from external threatsÑmechanical damage and environmental factors (e.g. scratches, pests). If the emulsion is cracking or delaminating, a glass cover will help to sandwich and protect the fleeing image material.",4,,,,Glass cover,1,No cover (emulsion exposed),0,,,,,,,,,,,,,,,,,,,,
Photographic Material,"Slide/Transparency (Glass, Film)",Glass Slide,B&W Glass Slide,Condition,81,"Assess the degree of image fading, discoloration, and/or staining","Determine the extent to which the image material has deteriorated, naturally or by external factors. 
Silver mirroring (metallic, bluish cast) and tarnishing are common forms of staining (via oxidation); emulsion discoloration (yellowing) is also common for many photographic images of this era. Click through for more info, including examples. ",10,,,,Slight/None,1,Moderate,0.5,Severe,0,Unsure,0.4,,,,,,,,,,,,,,,,
Photographic Material,"Slide/Transparency (Glass, Film)",Glass Slide,Autochrome (additive color screen),Use | Access,82,Is this item viewed/handled regularly?,"Handling and use carry damage risks, regardless of intention. Click ""Yes"" if patrons (or staff) often handle this item and click ""No"" if not.",2.5,,,,Yes,0,No,1,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,"Slide/Transparency (Glass, Film)",Glass Slide,Autochrome (additive color screen),Use | Access,83,"Are there additional copies, facsimiles, and/or access copies of this image?","Select ""Yes"" if this content exists in another form at your institution; otherwise, select ""No"". Click through for more info about service copies.",2.5,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,"Slide/Transparency (Glass, Film)",Glass Slide,Autochrome (additive color screen),Storage | Container,84,Is this item properly supported in storage?,"Each format has a preferred way of sitting in storage. If you are certain you know how your item should be oriented in storage and have stored it as such, select ""Yes""; otherwise, select ""No"". Click through for more information of how best to orient this item in storage.",1.8,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,"Slide/Transparency (Glass, Film)",Glass Slide,Autochrome (additive color screen),Storage | Container,85,Does this item have an appropriate container in good condition?,"Select ""Yes"" if this item is in a preservation appropriate container; otherwise, select ""No"". Click through to see examples of appropriate storage containers.",2,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,"Slide/Transparency (Glass, Film)",Glass Slide,Autochrome (additive color screen),Storage | Container,86,Does the container or item have any meaningful labeling?,"Select ""Yes"" if the item or its container have any identifying labeling; otherwise, select ""No"".",1.2,,,,Yes,1,No,0,,,,,,,,,,,,,,,,,,,,
Photographic Material,"Slide/Transparency (Glass, Film)",Glass Slide,Autochrome (additive color screen),Condition,87,"What is the state of the image, in terms of physical damage sustained?","Be mindful of damage that places the image or visual information at risk. If the non-image (shinier) side of the glass is scuffed without clear damage to the image/emulsion side, the image may be ""Good"" or even ""Excellent"". 
""Good"" to ""Critical"" can describe a range of image scratches, abrasions, or cracks. 
Emulsion delamination or broken glass (image loss) is inherently ""Serious"" or ""Critical"", depending on the degree of irreparable image loss.",16,,,,Excellent,1,Good,0.75,Fair,0.5,Serious,0.25,Critical,0,,,,,,,,,,,,,,
Photographic Material,"Slide/Transparency (Glass, Film)",Glass Slide,Autochrome (additive color screen),Condition,88,"Is this item exhibiting mold and/or pest (insect, rodent) damage? Check all that apply","Biological organisms such as mold, insects, and rodents can very easily damage collections, often irreversibly. If this item or its container seems to display pest damage or mold growth, select which (both if necessary). Click through for more information on pests and mold. 
Mold can stain and even weaken materials. Though mold growth can be halted, most staining is permanent. Mold will often appear as small spots, typically overlapping, patchy, and feathery at its edges. 
Pests will feed on a whole host of organic substances found in collections (i.e. cellulose, gelatin), eating through paper supports, media, emulsions, binding material, etc. ",6,,,checkboxes,Mold,0.5,Pest damage,0.5,,,,,,,,,,,,,,,,,,,,
Photographic Material,"Slide/Transparency (Glass, Film)",Glass Slide,Autochrome (additive color screen),Condition,89,Does the emulsion side have a glass cover or is the emulsion exposed?,"Autochrome's image material is extremely sensitive. A protective sheet of similar-sized glass is essential to protect the emulsion from external threatsÑmechanical damage and environmental factors (e.g. scratches, pests). If the emulsion is cracking or delaminating, a glass cover will help to sandwich and protect the fleeing image material.",8,,,,Glass cover,1,No cover (emulsion exposed),0,,,,,,,,,,,,,,,,,,,,
Photographic Material,"Slide/Transparency (Glass, Film)",Glass Slide,Autochrome (additive color screen),Condition,90,"Assess the degree of image fading, discoloration, and/or staining","Determine the extent to which the image material has deteriorated, naturally or by external factors. 
Color fading common for Autochromes; streaking, smearing, and distortion of the dye granules is also common. Tarnishing of the silver image component can also happen (via oxidation), but seldom for images kept under glass. Click through for more info, including examples. ",10,,,,Slight/None,1,Moderate,0.5,Severe,0,Unsure,0.4,,,,,,,,,,,,,,,,
Photographic Material,"Slide/Transparency (Glass, Film)",Plastic Film Slide,B&W Film Slide,Use | Access,91,Is this item viewed/handled regularly?,"Handling and use carry damage risks, regardless of intention. Click ""Yes"" if patrons (or staff) often handle this item and click ""No"" if not.",2.5,,,,Yes,0,No,1,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,"Slide/Transparency (Glass, Film)",Plastic Film Slide,B&W Film Slide,Use | Access,92,"Are there additional copies, facsimiles, and/or access copies of this image?","Select ""Yes"" if this content exists in another form at your institution; otherwise, select ""No"". Click through for more info about service copies.",2.5,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,"Slide/Transparency (Glass, Film)",Plastic Film Slide,B&W Film Slide,Storage | Container,93,Is this item properly supported in storage?,"Each format has a preferred way of sitting in storage. If you are certain you know how your item should be oriented in storage and have stored it as such, select ""Yes""; otherwise, select ""No"". Click through for more information of how best to orient this item in storage.",1.8,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,"Slide/Transparency (Glass, Film)",Plastic Film Slide,B&W Film Slide,Storage | Container,94,Does this item have an appropriate container in good condition?,"Select ""Yes"" if this item is in a preservation appropriate container; otherwise, select ""No"". Click through to see examples of appropriate storage containers.",2,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,"Slide/Transparency (Glass, Film)",Plastic Film Slide,B&W Film Slide,Storage | Container,95,Does the container or item have any meaningful labeling?,"Select ""Yes"" if the item or its container have any identifying labeling; otherwise, select ""No"".",1.2,,,,Yes,1,No,0,,,,,,,,,,,,,,,,,,,,
Photographic Material,"Slide/Transparency (Glass, Film)",Plastic Film Slide,B&W Film Slide,Condition,96,"What is the state of the image, in terms of physical damage sustained?","Be mindful of damage that places the image or visual information at risk. If the non-image (shinier) side of the film or slide mount is scuffed without clear damage to the image/emulsion side, the image may be ""Good"" or even ""Excellent"". 
""Good"" to ""Critical"" can describe a range of image scratches, abrasions, or cracks. 
Delamination or flaking (image loss) is inherently ""Serious"" or ""Critical"", depending on the degree of irreparable emulsion loss.",16,,,,Excellent,1,Good,0.75,Fair,0.5,Serious,0.25,Critical,0,,,,,,,,,,,,,,
Photographic Material,"Slide/Transparency (Glass, Film)",Plastic Film Slide,B&W Film Slide,Condition,97,"Is this item exhibiting mold and/or pest (insect, rodent) damage? Check all that apply","Biological organisms such as mold, insects, and rodents can very easily damage collections, often irreversibly. If this item or its container seems to display pest damage or mold growth, select which (both if necessary). Click through for more information on pests and mold. 
Mold can stain and even weaken materials. Though mold growth can be halted, most staining is permanent. Mold will often appear as small spots, typically overlapping, patchy, and feathery at its edges. 
Pests will feed on a whole host of organic substances found in collections (i.e. cellulose, gelatin), eating through paper supports, media, emulsions, binding material, etc. ",6,,,checkboxes,Mold,0.5,Pest damage,0.5,,,,,,,,,,,,,,,,,,,,
Photographic Material,"Slide/Transparency (Glass, Film)",Plastic Film Slide,B&W Film Slide,Condition,98,"If acetate or nitrate, what is the level of breakdown of the base?  If polyester, select ""No deterioration""","Acetate and nitrate films will decay in very different ways. Click through for more information on the levels of film base decay. 
If you think this is polyester, or it displays none of the typical acetate or nitrate decay characteristics, select ""No deterioration"".",8,,,,No deterioration,1,Deterioration starting,0.67,Actively deteriorating,0.33,Critical deterioration,0,Unsure,0.4,,,,,,,,,,,,,,
Photographic Material,"Slide/Transparency (Glass, Film)",Plastic Film Slide,B&W Film Slide,Condition,99,"Assess the degree of image fading, discoloration, and/or staining","Determine the extent to which the image material has deteriorated, naturally or by external factors. 
Common forms of surface staining for silver gelatin photographic images include silver mirroring (metallic, bluish cast) and orange-yellow spotting (redox blemishes). Click through for more info, including examples.",10,,,,Slight/None,1,Moderate,0.5,Severe,0,Unsure,0.4,,,,,,,,,,,,,,,,
Photographic Material,"Slide/Transparency (Glass, Film)",Plastic Film Slide,Color Film Slide,Use | Access,100,Is this item viewed/handled regularly?,"Handling and use carry damage risks, regardless of intention. Click ""Yes"" if patrons (or staff) often handle this item and click ""No"" if not.",2.5,,,,Yes,0,No,1,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,"Slide/Transparency (Glass, Film)",Plastic Film Slide,Color Film Slide,Use | Access,101,"Are there additional copies, facsimiles, and/or access copies of this image?","Select ""Yes"" if this content exists in another form at your institution; otherwise, select ""No"". Click through for more info about facsimiles and access/reference copies.",2.5,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,"Slide/Transparency (Glass, Film)",Plastic Film Slide,Color Film Slide,Storage | Container,102,Is this item properly supported in storage?,"Each format has a preferred way of sitting in storage. If you are certain you know how your item should be oriented in storage and have stored it as such, select ""Yes""; otherwise, select ""No"". Click through for more information of how best to orient this item in storage.",1.8,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,"Slide/Transparency (Glass, Film)",Plastic Film Slide,Color Film Slide,Storage | Container,103,Does this item have an appropriate container in good condition?,"Select ""Yes"" if this item is in a preservation appropriate container; otherwise, select ""No"". Click through to see examples of appropriate storage containers.",2,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,"Slide/Transparency (Glass, Film)",Plastic Film Slide,Color Film Slide,Storage | Container,104,Does the container or item have any meaningful labeling?,"Select ""Yes"" if the item or its container have any identifying labeling; otherwise, select ""No"".",1.2,,,,Yes,1,No,0,,,,,,,,,,,,,,,,,,,,
Photographic Material,"Slide/Transparency (Glass, Film)",Plastic Film Slide,Color Film Slide,Condition,105,"What is the state of the image, in terms of physical damage sustained?","Be mindful of damage that places the image or visual information at risk. If the non-image (shinier) side of the film or slide mount is scuffed without clear damage to the image/emulsion side, the image may be ""Good"" or even ""Excellent"". 
""Good"" to ""Critical"" can describe a range of image scratches, abrasions, or cracks. 
Delamination or flaking (image loss) is inherently ""Serious"" or ""Critical"", depending on the degree of irreparable emulsion loss.",16,,,,Excellent,1,Good,0.75,Fair,0.5,Serious,0.25,Critical,0,,,,,,,,,,,,,,
Photographic Material,"Slide/Transparency (Glass, Film)",Plastic Film Slide,Color Film Slide,Condition,106,"Is this item exhibiting mold and/or pest (insect, rodent) damage? Check all that apply","Biological organisms such as mold, insects, and rodents can very easily damage collections, often irreversibly. If this item or its container seems to display pest damage or mold growth, select which (both if necessary). Click through for more information on pests and mold. 
Mold can stain and even weaken materials. Though mold growth can be halted, most staining is permanent. Mold will often appear as small spots, typically overlapping, patchy, and feathery at its edges. 
Pests will feed on a whole host of organic substances found in collections (i.e. cellulose, gelatin), eating through paper supports, media, emulsions, binding material, etc. ",6,,,checkboxes,Mold,0.5,Pest damage,0.5,,,,,,,,,,,,,,,,,,,,
Photographic Material,"Slide/Transparency (Glass, Film)",Plastic Film Slide,Color Film Slide,Condition,107,"If acetate, what is the level of breakdown of the base?","Acetate films will show its degradation in several stages. Click through for more information on the levels of acetate film base decay. 
If you think this is polyester, or it displays none of the typical acetate or nitrate decay characteristics, select ""No deterioration"".",8,,,,No deterioration,1,Deterioration starting,0.67,Actively deteriorating,0.33,Critical deterioration,0,Unsure,0.4,,,,,,,,,,,,,,
Photographic Material,"Slide/Transparency (Glass, Film)",Plastic Film Slide,Color Film Slide,Condition,108,"Assess the degree of image fading, discoloration, and/or staining","Determine the extent to which the image material has deteriorated, naturally or by external factors. 
 
Many slides will discolor as a result of severe thermal fading of the cyan dye and poor storage in high temperatures. In addition to obvious shifts, the level of dye fading be such that it can be assessed by observing the border (w/ magnification).  As this ""black"" border is in fact a composite of the color dyes, its edges will lighten and shift toward magenta over time.",10,,,,Slight/None,1,Moderate,0.5,Severe,0,Unsure,0.4,,,,,,,,,,,,,,,,
Photographic Material,Direct/Cased Photograph,,Daguerreotype,Use | Access,109,Is this item viewed/handled regularly?,"Handling and use carry damage risks, regardless of intention. Click ""Yes"" if patrons (or staff) often handle this item and click ""No"" if not.",2.5,,,,Yes,0,No,1,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Direct/Cased Photograph,,Daguerreotype,Use | Access,110,"Are there additional copies, facsimiles, and/or access copies of this image?","Select ""Yes"" if this content exists in another form at your institution; otherwise, select ""No"". Click through for more info about facsimiles and access/reference copies.",2.5,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Direct/Cased Photograph,,Daguerreotype,Storage | Container,111,Is this item properly supported in storage?,"Each format has a preferred way of sitting in storage. If you are certain you know how your item should be oriented in storage and have stored it as such, select ""Yes""; otherwise, select ""No"". Click through for more information of how best to orient this item in storage.",1.8,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Direct/Cased Photograph,,Daguerreotype,Storage | Container,112,Does this item have an appropriate container in good condition?,"Select ""Yes"" if this item is in a preservation appropriate container; otherwise, select ""No"". Click through to see examples of appropriate storage containers.",2,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Direct/Cased Photograph,,Daguerreotype,Storage | Container,113,Does the container or item have any meaningful labeling?,"Select ""Yes"" if the item or its container have any identifying labeling; otherwise, select ""No"".",1.2,,,,Yes,1,No,0,,,,,,,,,,,,,,,,,,,,
Photographic Material,Direct/Cased Photograph,,Daguerreotype,Condition,114,"What is the state of the image, in terms of physical damage sustained?","Be mindful of damage that places the image or visual information at risk. If a case is damaged or glass cover even chipped without damage to the silver image, this may be ""Good"" or even ""Excellent"".
""Good"" to ""Critical"" can describe a range of image scratches, abrasions, or cracks. 
Delamination, silver flaking or loss (image loss) is inherently ""Serious"" or ""Critical"", depending on the degree of irreparable loss.",16,,,,Excellent,1,Good,0.75,Fair,0.5,Serious,0.25,Critical,0,,,,,,,,,,,,,,
Photographic Material,Cased/Direct Photograph,,Daguerreotype,Condition,115,"Is this item exhibiting mold and/or pest (insect, rodent) damage? Check all that apply","Biological organisms such as mold, insects, and rodents can very easily damage collections, often irreversibly. If this item or its container seems to display pest damage or mold growth, select which (both if necessary). Click through for more information on pests and mold. 
Mold can stain and even weaken materials. Though mold growth can be halted, most staining is permanent. Mold will often appear as small spots, typically overlapping, patchy, and feathery at its edges. 
Pests will feed on a whole host of organic substances found in collections (i.e. cellulose, gelatin), eating through paper supports, media, emulsions, binding material, etc. ",6,,,checkboxes,Mold,0.5,Pest damage,0.5,,,,,,,,,,,,,,,,,,,,
Photographic Material,Cased/Direct Photograph,,Daguerreotype,Condition,116,Is this daguerreotype in a hinged case (w/ glass cover) and/or sealed package?,"The silver-mercury image material of the daguerreotype is extremely sensitive. Indicate whether this daguerreotype is in a package that effectively seals the plate surface off from external threats.
A secure glass-and-case ""package"" is crucial to protect the image from external threatsÑmechanical damage and environmental factors (e.g. abrasion, tarnishing). A daguerreotype should remain enclosed in its original case or package; however, conservators may elect to repackage a compromised case if they deem it necessary. ",8,,,,Yes,1,No,0,,,,,,,,,,,,,,,,,,,,
Photographic Material,Cased/Direct Photograph,,Daguerreotype,Condition,117,"Assess the degree of image tarnishing, darkening, and/or loss of contrast","Determine the extent to which the image material has deteriorated, naturally or by external factors. 
Tarnishing typically results from exposure to atmosphere pollutants (an opened case packaging). This will begin as a light brown that progresses toward blue-black opaque staining along the outer edge. Over time, this staining can envelop the whole image.",10,,,,None/Slight,1,Moderate (at edges only),0.5,Severe (overall),0,,,,,,,,,,,,,,,,,,
Photographic Material,Direct/Cased Photograph,,Ambrotype,Use | Access,118,Is this item viewed/handled regularly?,"Handling and use carry damage risks, regardless of intention. Click ""Yes"" if patrons (or staff) often handle this item and click ""No"" if not.",2.5,,,,Yes,0,No,1,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Direct/Cased Photograph,,Ambrotype,Use | Access,119,"Are there additional copies, facsimiles, and/or access copies of this image?","Select ""Yes"" if this content exists in another form at your institution; otherwise, select ""No"". Click through for more info about facsimiles and access/reference copies.",2.5,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Direct/Cased Photograph,,Ambrotype,Storage | Container,120,Is this item properly supported in storage?,"Each format has a preferred way of sitting in storage. If you are certain you know how your item should be oriented in storage and have stored it as such, select ""Yes""; otherwise, select ""No"". Click through for more information of how best to orient this item in storage.",1.8,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Direct/Cased Photograph,,Ambrotype,Storage | Container,121,Does this item have an appropriate container in good condition?,"Select ""Yes"" if this item is in a preservation appropriate container; otherwise, select ""No"". Click through to see examples of appropriate storage containers.",2,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Direct/Cased Photograph,,Ambrotype,Storage | Container,122,Does the container or item have any meaningful labeling?,"Select ""Yes"" if the item or its container have any identifying labeling; otherwise, select ""No"".",1.2,,,,Yes,1,No,0,,,,,,,,,,,,,,,,,,,,
Photographic Material,Direct/Cased Photograph,,Ambrotype,Condition,123,"What is the state of the image, in terms of physical damage sustained?","Be mindful of damage that places the image or visual information at risk. If the case is damaged or non-image side of the glass is scuffed without clear damage to the image/emulsion side, the image may be ""Good"" or even ""Excellent"". 
""Good"" to ""Critical"" can describe a range of image scratches, abrasions, or cracks. 
Emulsion delamination or broken glass (image loss) is inherently ""Serious"" or ""Critical"", depending on the degree of irreparable image loss.",16,,,,Excellent,1,Good,0.75,Fair,0.5,Serious,0.25,Critical,0,,,,,,,,,,,,,,
Photographic Material,Cased/Direct Photograph,,Ambrotype,Condition,124,"Is this item exhibiting mold and/or pest (insect, rodent) damage? Check all that apply","Biological organisms such as mold, insects, and rodents can very easily damage collections, often irreversibly. If this item or its container seems to display pest damage or mold growth, select which (both if necessary). Click through for more information on pests and mold. 
Mold can stain and even weaken materials. Though mold growth can be halted, most staining is permanent. Mold will often appear as small spots, typically overlapping, patchy, and feathery at its edges. 
Pests will feed on a whole host of organic substances found in collections (i.e. cellulose, gelatin), eating through paper supports, media, emulsions, binding material, etc. ",6,,,checkboxes,Mold,0.5,Pest damage,0.5,,,,,,,,,,,,,,,,,,,,
Photographic Material,Cased/Direct Photograph,,Ambrotype,Condition,125,Is this ambrotype in a hinged case (w/ glass cover) and/or sealed package?,"The silver image of an ambrotype is extremely sensitive, especially if it was not varnished. Indicate whether this ambrotype is in a package that effectively seals the emulsion-side's surface off from external threats.
A secure case or package is crucial to protect the image from external threatsÑmechanical damage and environmental factors (e.g. abrasion, tarnishing). An ambrotype should remain enclosed in its original case or package; however, conservators may elect to repackage a compromised case if they deem it necessary.",8,,,,Yes,1,No,0,,,,,,,,,,,,,,,,,,,,
Photographic Material,Cased/Direct Photograph,,Ambrotype,Condition,126,"Assess the degree of image tarnishing, darkening, and/or loss of contrast","Determine the extent to which the image material has deteriorated, naturally or by external factors. 
Tarnishing typically results from exposure to atmosphere pollutants (an opened case packaging). This will begin as a light brown that progresses toward blue-black opaque staining along the outer edge. Over time, this staining can envelop the whole image.",10,,,,None/Slight,1,Moderate (at edges only),0.5,Severe (overall),0,,,,,,,,,,,,,,,,,,
Photographic Material,Cased/Direct Photograph,,Tintype,Use | Access,127,Is this item viewed/handled regularly?,"Handling and use carry damage risks, regardless of intention. Click ""Yes"" if patrons (or staff) often handle this item and click ""No"" if not.",2.5,,,,Yes,0,No,1,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Cased/Direct Photograph,,Tintype,Use | Access,128,"Are there additional copies, facsimiles, and/or access copies of this image?","Select ""Yes"" if this content exists in another form at your institution; otherwise, select ""No"". Click through for more info about facsimiles and access/reference copies.",2.5,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Cased/Direct Photograph,,Tintype,Storage | Container,129,Is this item properly supported in storage?,"Each format has a preferred way of sitting in storage. If you are certain you know how your item should be oriented in storage and have stored it as such, select ""Yes""; otherwise, select ""No"". Click through for more information of how best to orient this item in storage.",1.8,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Cased/Direct Photograph,,Tintype,Storage | Container,130,Does this item have an appropriate container in good condition?,"Select ""Yes"" if this item is in a preservation appropriate container; otherwise, select ""No"". Click through to see examples of appropriate storage containers.",2,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Cased/Direct Photograph,,Tintype,Storage | Container,131,Does the container or item have any meaningful labeling?,"Select ""Yes"" if the item or its container have any identifying labeling; otherwise, select ""No"".",1.2,,,,Yes,1,No,0,,,,,,,,,,,,,,,,,,,,
Photographic Material,Cased/Direct Photograph,,Tintype,Condition,132,"What is the state of the image, in terms of physical damage sustained?","Look closely along the edges for blistering and/or flaking of the emulsion. Be mindful of damage that places the image or visual information at risk. If a support's corner is dented without clear damage to the image/emulsion, the image may be ""Good"". 
""Good"" to ""Critical"" can describe a range of image scratches, abrasions, or cracks. 
Emulsion delamination or severe flaking (image loss) is inherently ""Serious"" or ""Critical"", depending on the degree of irreparable image loss.",16,,,,Excellent,1,Good,0.75,Fair,0.5,Serious,0.25,Critical,0,,,,,,,,,,,,,,
